"Path","Bytes","SHA256","Extension","Category","GearCandidate","HashError"
"docs/how-to/quick-fixes.md","3655","AF6132D62F3F5A9AE8B04727082288F81774D1892BDE30BEED85AD118BFA4792",".md","documentation","True",
"docs/how-to/upgrade-to-v6.md","3773","F903AE24FCE2B823E9E585A4083888DF0BFD8644E9ABB3182FA21E5D3907945D",".md","documentation","True",
"docs/how-to/use-web-bundles.md","2567","5B3B2B3179ED0929E5F089EAF99BD1C8556B47E0D35F1C94ADDEB338B11DAFDD",".md","documentation","True",
"docs/images/bmad-delivery-loop.svg","5141","39D9C60A6D4372BEE97E5797378D7AD6285690317016C141691D0D574E27A0E6",".svg","binary_or_asset","False",
"docs/index.md","2933","821823DFE6059C305AE3BC1649F638969AB805428AD7E9CE6D89FEA80AEE0BC0",".md","documentation","True",
"docs/reference/agents.md","2711","0D7B6FC3D1D0EED1187E5B0094905BE47F09011529C2889E91588BB64DF44D18",".md","agent_instruction","True",
"docs/reference/build-auto.md","15336","F3467611ED51069D5B1F182397ED2241452AF9D7A1BCB48396A3F6667E727D73",".md","documentation","True",
"docs/reference/commands.md","6794","829336B5E59EF38DE617B1C25225492031B5B39D9D572346588633AA46718CB3",".md","documentation","True",
"docs/reference/core-tools.md","14784","F53ECD9AD889CBAA0DB47DB3681D46E5073D07E4DE290826E0090AAC678CAD58",".md","documentation","True",
"docs/reference/modules.md","3955","ED61BCA0AEED2171C54D7C69D9C2E280F24FA540CBEE4A66CC0CAA1441561BCA",".md","documentation","True",
"docs/reference/testing.md","5910","682B1E3E6F95BB250B3D0938D72F1717DF6040880911FB0623914762D206F0E6",".md","documentation","True",
"docs/reference/workflow-map.md","9354","1309A09B18C3A2B68B9F570C5B6D389C5F52A3A41020100AFFFC31E9DA998DBB",".md","documentation","True",
"docs/roadmap.mdx","6246","C96F8D93E1025C794D41F004EEDB30F9532805F02EE4EA7B8AEA9A6CE1BBA4FD",".mdx","documentation","True",
"docs/tutorials/getting-deeper.md","8210","0BFE0576DE65179A7518C69426FBCAE00CB82B76FEE1630CEF304BD8646FC2AD",".md","documentation","True",
"docs/tutorials/getting-started.md","3743","9DA4AEE9BB4B54AF8FB02F420D156F2DE616B8786AE85452B91E2DDB56A4A59B",".md","documentation","True",
"docs/vi-vn/_STYLE_GUIDE.md","12930","796AAF775469C790AF84299D39F247046C652DD5139B10232E67FD29255DAA93",".md","documentation","True",
"docs/vi-vn/404.md","180","2754A587F1CF49DCCFDE15279F6F2CB11BB1F075D19B6B2FCF896544B55E4FC4",".md","documentation","True",
"docs/vi-vn/bmad-developer-guide.md","1203","1092CC0BA4C69FA81BA71706C4CCBFD0812FD4C298ECF806AE229D73A78BFE68",".md","documentation","True",
"docs/vi-vn/explanation/advanced-elicitation.md","3308","7E348147E584E69D75C7DAB3E7E857FF96E7EE92A4C24164E245392269612F04",".md","documentation","True",
"docs/vi-vn/explanation/adversarial-review.md","3883","C9670C413442D60D37A6DE11BCD5ACE6D574F3BEBEA4F1E659C41BE360444466",".md","documentation","True",
"docs/vi-vn/explanation/analysis-phase.md","8449","C7F95AC1FF9D1194099AFA8793E74E20313EEBFEED5D07E962DC5269CC8BAD43",".md","documentation","True",
"docs/vi-vn/explanation/brainstorming.md","1871","DBB9CE17E273460085E0B342E8E35BCC59E2CEDC7EFD8858D827E285010CE929",".md","documentation","True",
"docs/vi-vn/explanation/build.md","7942","02EB238CDEA51B0F3397A4BAFEE3EB3838797416E575B4738A9F679462EC6460",".md","documentation","True",
