GearRow,Path,Category,Bytes,Lines,SHA256,SemanticMethod,SemanticSynopsis,ReferenceCount,TerminalClasses,ReferenceStatuses,BrokenReferenceCount,SourceEvidence
318,src/specify_cli/presets/_commands.py,executable_source,35025,832,82339A3A40ECA55CF6783688C5B1B042549CDE62FA1CB7F2ECF3C25D182772ED,python_ast,"Python module; top-level symbols=preset_list,preset_add,preset_remove,preset_search,preset_resolve,preset_info,preset_set_priority,preset_enable,preset_disable,preset_catalog_list,preset_catalog_add,preset_catalog_remove",41,executable=31;external_dependency=10,resolved=31;terminal=10,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/src/specify_cli/presets/_commands.py#L1-L832
319,src/specify_cli/shared_infra.py,executable_source,30115,721,225241B579A1AC99558F3C49242D8BF68241212492CE76234E91399D9315885B,python_ast,"Python module; top-level symbols=verify_archive_sha256,SymlinkedSharedPathError,load_speckit_manifest,shared_templates_source,shared_scripts_source,_shared_destination_label,_shared_relative_path,_ensure_safe_shared_directory,_validate_safe_shared_directory,_ensure_safe_shared_destination,_write_shared_text,_write_shared_bytes",12,executable=3;external_dependency=9,resolved=3;terminal=9,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/src/specify_cli/shared_infra.py#L1-L721
320,src/specify_cli/workflows/__init__.py,orchestration_asset,7877,204,C0A2A98D8E5F9A70D59496181A436EC719A0F1473A2610D7C5C29602F26067A0,python_ast,"Python module; top-level symbols=_register_step,get_step_type,_register_builtin_steps,load_custom_steps",21,executable=13;external_dependency=8,resolved=13;terminal=8,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/src/specify_cli/workflows/__init__.py#L1-L204
321,src/specify_cli/workflows/_commands.py,orchestration_asset,154621,3857,49B7612B2337EB3E692F92C3DA4DDA4D8B9F22A30ACE0C028B1D506A16CB2D76,python_ast,"Python module; top-level symbols=_error_console,_open_workflow_registry,_require_enabled_workflow,_path_has_symlink_component,_same_existing_path,_resolve_run_owner_root,_parse_input_values,_reject_unsafe_dir,_reject_unsafe_workflow_storage,_scan_for_workflow_owner,_expand_first_symlink_target,_resolve_installed_workflow_ownership",94,executable=51;external_dependency=43,resolved=51;terminal=43,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/src/specify_cli/workflows/_commands.py#L1-L3857
322,src/specify_cli/workflows/base.py,orchestration_asset,4416,147,02781E2A4BF61C3887D196FA55C4F4B7702FAFED2A09397A65ECD2294895CA23,python_ast,"Python module; top-level symbols=StepStatus,RunStatus,StepContext,StepResult,StepBase",5,external_dependency=5,terminal=5,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/src/specify_cli/workflows/base.py#L1-L147
323,src/specify_cli/workflows/catalog.py,orchestration_asset,61666,1502,4E0EB4D741711003C4F3B34912C8748F1B2AB969D1DB0C167F393BFA4923CF94,python_ast,"Python module; top-level symbols=WorkflowCatalogError,WorkflowValidationError,WorkflowCatalogEntry,WorkflowRegistry,WorkflowCatalog,StepCatalogError,StepValidationError,StepCatalogEntry,StepRegistry,StepCatalog",21,executable=3;external_dependency=18,resolved=3;terminal=18,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/src/specify_cli/workflows/catalog.py#L1-L1502
324,src/specify_cli/workflows/engine.py,orchestration_asset,78099,1716,167770B3F5A6329633A4A5606782995188D4F1EC8C792FD92F192DCDC82D579F,python_ast,"Python module; top-level symbols=WorkflowDefinition,_get_valid_step_types,validate_workflow,_validate_steps,RunState,WorkflowEngine,WorkflowAbortError",22,executable=8;external_dependency=14,resolved=8;terminal=14,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/src/specify_cli/workflows/engine.py#L1-L1716
325,src/specify_cli/workflows/expressions.py,orchestration_asset,27533,681,7F1F5084E5952A93A658E02C2501B2F3EA19411E8614D557FB5736EBC3340619,python_ast,"Python module; top-level symbols=_filter_default,_filter_join,_filter_map,_filter_contains,_filter_from_json,_resolve_dot_path,_build_namespace,_is_single_expression,_interpolate_expressions,_split_top_level,_split_top_level_commas,_find_top_level",4,external_dependency=4,terminal=4,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/src/specify_cli/workflows/expressions.py#L1-L681
326,src/specify_cli/workflows/overlays/__init__.py,orchestration_asset,3589,96,AD40A869A3F5B52AB39BC0755B21D501CAA9A80CED635574F0394FD43AF65FD3,python_ast,"Python module; top-level symbols=_validate_workflow_id,WorkflowResolver",7,executable=5;external_dependency=2,resolved=5;terminal=2,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/src/specify_cli/workflows/overlays/__init__.py#L1-L96
327,src/specify_cli/workflows/overlays/_commands.py,orchestration_asset,15984,453,04B3B3F61CFE896A3229DBA2A06A8545575D425E9510AA80A187C8F6F73854DB,python_ast,"Python module; top-level symbols=_validate_overlay_id_or_exit,_validate_workflow_id_or_exit,_overlay_root,_project_overlay_dir,_ensure_contained_dir,_find_overlay_file,_ensure_contained_path,_read_overlay,workflow_overlay_add,_update_overlay_field,workflow_overlay_set_priority,workflow_overlay_enable",11,executable=5;external_dependency=6,resolved=5;terminal=6,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/src/specify_cli/workflows/overlays/_commands.py#L1-L453
328,src/specify_cli/workflows/overlays/composer.py,orchestration_asset,3830,98,7D1385B70226EA4D65155BACB6AC31023723C27B09B60CFC7E74488B17081BA8,python_ast,Python module; top-level symbols=StepListComposer,5,executable=3;external_dependency=2,resolved=3;terminal=2,0,https://github.com/github/spec-kit/blob/d1e86f638277a99b82715c22c90558cd58d3cffd/src/specify_cli/workflows/overlays/composer.py#L1-L98
